stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,57.21,0,0,0,0
72hpf,3.21,0,7.49,1.07,0,0,0,0,0,0,3.21,1.07,0,5.35,0,5.35,10.7,6.42,3.21,1.07,0
21Day,5.35,0,12.05,1.34,0,0,0,0,1.34,0,0,4.02,5.35,1.34,0,1.34,0,0,1.34,1.34,0
3Month,0,0,1.28,0,0.32,0.32,1.92,0,0,0.64,0,0,0.32,0,0,0,0.32,0,0.32,1.92,0.64
22Month,0,0.55,0.55,0,0,0,4.92,0.55,0,1.09,0,0,2.19,0.55,0.55,0,0,0,0,17.49,0
