stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Primordial_germ_cell,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,0,0,0,0,0,0,32.09,0,0,0,0,1.07,0,0
21Day,0,6.69,1.34,0,0,0,0,0,0,14.72,0,0,0,0,0,0,0
3Month,0,3.2,0,0.32,0,0,2.24,0.64,0.32,0,0.64,0.64,0.64,0,0,1.6,0
22Month,0,2.73,0,2.19,1.09,0.55,24.05,0,1.09,0,0.55,0,0,0.55,0,0,0.55
