stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0
72hpf,0,0,0,0,0,2.14,1.07,1.07,0,0
21Day,0,0,0,0,0,2.68,1.34,0,0,0
3Month,0.32,0.32,0.32,0.96,0.32,0,0,0,0,0.64
