stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Spermatocyte
24hpf,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0,8.17,12.26,0,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,0,2.14,0,8.56,0,0,5.35,5.35,0,10.7,0,0
21Day,0,0,1.34,2.68,0,0,0,0,1.34,0,6.69,0,0,1.34,0,0,4.02,1.34,0
3Month,0,0,2.24,0.96,0.32,0,0.64,0,0.64,0,0.64,0.96,0.32,0.32,0,0.96,0,0,0.64
22Month,0,0.55,0,0,1.64,0,10.39,1.09,1.64,1.09,2.73,0,0,0,0,0.55,0,0.55,0
