stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,16.35,0,0,0,0,0,0,0
72hpf,5.35,0,2.14,1.07,1.07,0,1.07,0,0,0,0,0,2.14,0,4.28,0,0,6.42,9.63,6.42,0,3.21,0,0,0,0
21Day,4.02,1.34,0,0,1.34,0,0,0,0,0,0,0,2.68,0,8.03,0,0,0,1.34,4.02,0,1.34,1.34,0,0,0
3Month,0,0.64,3.2,0,0,0.64,0.96,0,2.56,0.96,2.88,0.32,0.96,0.32,2.88,1.92,0.96,0.64,0,0,1.28,0,0,0.32,0.64,3.2
22Month,0,0.55,0.55,0,0,0,0.55,0.55,18.59,0,1.09,0,0,0,4.37,0,0,0,0,0,0,0,0,0.55,0,1.09
