stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,196.15,0,0,4.09,825.45,44.95,0,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,0,0,0,0,0,0,1.07,0,1.07,4.28,0,6.42,0,0,0,203.26,17.12,0,0,0,0,1.07,0
21Day,1.34,0,4.02,1.34,0,0,0,0,1.34,0,5.35,0,0,0,0,0,0,0,0,46.85,2.68,0,1.34,0,0,0,5.35
3Month,0,0.32,4.16,0,0,0.32,0.32,0,1.92,0.64,0,0.64,0.32,0.32,0.64,0.32,0.64,0,0,0.96,0,0,0.32,0.64,0.96,0,7.04
22Month,0,1.09,3.28,0,0.55,0.55,4.37,1.64,25.15,1.09,0.55,1.09,0,0.55,2.73,1.64,0,0.55,0,17.49,0,1.64,0,0,0.55,0,4.37
