stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,3.21,0,0,0,0,0,2.14,1.07,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,10.71,0,0,0,0,0,0,0,0,0,0,2.68,2.68,1.34,0,0,0,4.02,0,0,0,0,0,0,0,0,0,1.34
3Month,0,1.92,0.32,46.39,0,0.32,7.36,3.52,0,24,2.56,2.24,9.6,2.56,2.88,14.4,4.8,0.96,0,0.96,0.64,0,1.6,0.96,0.32,1.92,1.28,0.32,2.56,0.64,8.96
22Month,0.55,4.92,0,11.48,0.55,1.09,2.19,2.73,1.64,59.04,4.92,2.73,6.56,0,1.64,8.2,6.56,0.55,3.83,1.64,0,0,0.55,1.64,0,0,1.09,0,0.55,0,4.92
