stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,36.78,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,1.07,1.07,0,0,0,0,0,0,0,0,1.07,0,2.14,5.35,0,6.42,0,0,0,0,26.74,14.98,0,0,0,3.21,0,2.14,0,0,1.07,0,0,0
21Day,6.69,0,1.34,17.4,1.34,9.37,0,17.4,0,5.35,0,0,0,12.05,1.34,5.35,10.71,8.03,18.74,0,0,0,0,16.06,17.4,0,0,0,8.03,0,2.68,1.34,4.02,0,0,0,4.02
3Month,0.64,2.24,0.96,28.48,0.96,0,0.32,1.92,3.2,12.8,0,39.99,9.28,1.28,25.28,6.4,7.36,19.84,4.8,2.56,0.32,8,4.16,2.24,0.32,3.2,0.64,0,0.96,35.51,0.64,0,0,0.32,0.96,6.72,13.76
22Month,0.55,1.09,3.28,16.4,0,0,0.55,1.09,7.11,32.8,18.04,137.21,4.37,6.56,27.33,0.55,3.28,32.8,5.47,0.55,1.09,3.28,0,1.09,0,3.83,1.09,1.64,0,7.65,7.65,0.55,0,0.55,2.19,0,8.75
