stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,3.21,6.42,3.21,6.42,0,0,0,0,0,0,0,0,0,0,16.05,2.14,10.7,0,0,0,1053.74,32.09,0,1.07,22.47,1.07,0,9.63,0,0,2.14,0,0,0
21Day,9.37,1.34,10.71,4.02,14.72,0,1.34,1.34,0,0,1.34,0,5.35,1.34,1.34,4.02,2.68,24.09,1.34,0,5.35,444.39,14.72,0,2.68,2.68,17.4,0,0,10.71,1.34,0,0,0,1.34
3Month,0,0.32,6.08,0,0,0.32,0,0.32,0.96,0,6.4,2.88,0,1.92,0.32,1.6,0.32,2.88,1.28,0.32,0.64,0,0,2.24,0,0,0.32,16.96,0,0.32,0,0,0.96,19.84,0
22Month,0,1.09,2.19,0,0,0,0,0,2.19,0.55,42.64,2.19,1.09,2.19,0.55,0.55,1.64,6.56,0.55,0.55,1.09,0.55,0,1.09,0,0,0,0.55,0,0,0,0,0,0,1.09
