stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,26.74,2.14,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,28.11,1.34,0,1.34,2.68,0,0,1.34,1.34,0,0,0
3Month,0,1.6,0,0.32,0,0,0.96,0.32,0.64,0.64,0.32,0.32,2.56,0,0.32,0.96,0,0.32,0.32,0,0.96,2.88,0,0,0.64,0.96,0.32
22Month,0,1.09,1.09,1.09,0.55,0,8.2,0,0,0.55,0,0.55,2.19,0.55,0,0.55,0,1.09,0,0,2.73,9.84,0,0,0,0,0
