stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,0,429.07,0,0,0,0,0,0,0,24.52,0,0,0,0,12.26,20.43,8.17,73.56,0,0,8.17,4.09,347.34,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,1.07,0,16.05,4.28,1.07,0,0,0,0,0,0,0,0,0,0,1.07,4.28,0,8.56,0,0,0,25.67,12.84,1.07,4.28,1.07,0,1.07,2.14,0,0,0,0
21Day,1.34,0,0,20.08,1.34,0,0,0,0,1.34,0,0,1.34,0,1.34,0,1.34,4.02,0,9.37,0,0,0,13.39,10.71,0,2.68,2.68,0,1.34,0,0,0,0,0
3Month,0.32,0.32,0,20.16,0,0,0,0,9.92,2.24,0,0,7.36,2.24,0.96,2.24,1.28,1.92,1.28,2.88,0.32,0.32,0.32,0.32,0.32,1.92,0,1.28,0.32,128.62,0.32,0,1.92,8,3.2
22Month,0,1.09,0.55,8.2,0,0,1.09,1.64,3.83,1.64,7.65,0,16.95,0.55,4.92,3.83,0.55,1.64,5.47,2.73,0,0.55,0,3.83,0,1.09,0,0,0,56.85,0,0,0,0,0
