stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,40.65,2.14,0,0
21Day,1.34,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,14.72,0,0,0
3Month,0,0,0.32,0,0,0,0,0.64,0,0.64,0,0,0.32,0,0,0.32,0.96,1.92
22Month,0,0.55,1.64,0,0,3.28,0.55,17.49,1.09,1.09,0.55,1.64,1.64,1.64,0,0,0,0
