stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Keratinocyte,Mt_rich_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell,Spermatocyte
72hpf,0,0,0,0,0,3.21,0,1.07,0,0,0
21Day,0,0,1.34,0,0,2.68,0,0,1.34,1.34,0
3Month,0.32,0.32,0,0,2.24,0,0,0,0,0,0.96
22Month,0,0.55,0,1.09,9.84,0,1.09,0,0,0,0
