stage,Cardiomyocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell
72hpf,1.07,0,0,0,0,12.84,1.07
21Day,1.34,0,0,0,0,4.02,0
22Month,0,1.64,1.09,0.55,1.09,0,0
