stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,24.52,0,0,0,0,0,0,0
72hpf,2.14,0,0,16.05,0,0,0,0,0,0,0,0,0,4.28,0,5.35,0,0,0,4.28,1.07,0,0,0,157.26,0,0,0,0,0,0,0
21Day,1.34,0,1.34,6.69,0,1.34,0,0,0,0,1.34,0,1.34,1.34,1.34,8.03,0,0,0,2.68,0,0,0,0,113.78,1.34,1.34,2.68,1.34,0,0,0
3Month,1.6,0.32,3.52,1.92,0.32,0,0.96,0.32,1.6,0.32,0,1.6,0.64,3.2,0.64,5.12,0.64,0.64,0.96,0.64,0.64,0.32,0.32,0,7.36,0.64,34.55,0,0,0.64,18.56,0.32
22Month,0,0,2.19,0.55,0,0,0,0.55,7.65,0,0.55,0.55,0.55,0,1.64,2.73,0,0.55,0,0.55,0,1.09,1.09,1.64,2.19,0,20.23,0.55,0,0,0,0
