stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,77.64,0,0,0,0,0,0,0,0,0,4.09,4.09,49.04,0,0,77.64,224.75,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,6.42,0,0,0,0,0,0,0,0,1.07,7.49,0,11.77,0,3.21,179.72,7.49,2.14,0,17.12,0,0,1.07,0,37.44,0,0
21Day,5.35,0,1.34,4.02,0,1.34,0,1.34,0,1.34,0,0,4.02,1.34,9.37,0,0,247.63,2.68,28.11,0,0,4.02,0,0,0,16.06,0,2.68
3Month,0,1.28,3.84,0,0,1.28,0,4.16,0.64,0,0.64,0.96,1.6,1.6,7.04,0,24,0.96,0.32,1.6,0,0,0.32,4.16,0,0,11.2,0.32,4.8
22Month,0,1.64,3.83,0,0.55,2.19,0.55,32.25,1.64,0.55,3.83,1.09,0.55,4.92,8.2,1.64,4.37,19.13,0,0,0.55,0,1.09,8.2,0.55,0.55,0,0,1.64
