stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Retinal_cell
72hpf,1.07,1.07,0,0,1.07,2.14,2.14,2.14,0
21Day,0,1.34,0,0,0,1.34,1.34,0,0
3Month,0,2.56,0,0,0,0.32,0,0,0
22Month,0,0.55,2.73,1.09,0,0,1.09,0,0.55
