stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.72
3Month,0.64,0.64,15.36,1.6,0.96,0.64,5.12,0.64,0.96,0.64,0.32,1.28,13.44,2.24,0.32,0.32,0.32,0.32,0.32,0.96,0.64,0.32,119.34
22Month,0.55,0,6.56,0.55,0,0.55,4.92,0,0.55,0.55,0,0.55,8.75,0.55,0,0,0.55,0,0,0,0,0,57.95
