stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,245.18,8.17,0,0,0,0,4.09,0,0,0,4.09,4.09,4.09,20.43,0,0,85.81,204.32,16.35,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,4.28,2.14,0,27.81,16.05,60.98,0,0,0,0,0,0,2.14,2.14,32.09,2.14,18.19,36.37,0,586.25,51.35,13.91,1.07,0,18.19,59.91,0,2.14,0,0,0,0,0,0
21Day,4.02,0,0,18.74,18.74,238.26,20.08,0,2.68,0,0,4.02,1.34,0,9.37,6.69,21.42,0,5.35,208.81,10.71,2.68,2.68,0,46.85,20.08,5.35,2.68,1.34,1.34,2.68,0,0,1.34
3Month,0,0,0.32,1.6,0,0,0,1.6,0.32,0,1.92,0.32,0.64,0.64,0.64,0.32,0.96,0,0.32,1.6,0,2.24,0,0,0,1.28,6.4,0,0,0,0,0.64,1.6,0
22Month,0,0,0,3.28,0.55,0,0,0,1.09,0,15.85,0,1.64,0,0.55,1.09,3.28,0.55,1.09,0,0,4.92,0,0.55,0,1.09,13.12,0,0,0,0,2.19,0,0
