stage,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell
24hpf,0,0,0,8.17
72hpf,0,0,1.07,0
3Month,0.64,0,0,0
22Month,1.09,0.55,0,0
