stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,61.3,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,7.49,0,0,0,0,1.07,0,0,0,0
21Day,1.34,0,6.69,0,0,0,0,0,1.34,0,0,1.34,0,8.03,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.64,5.12,0.32,0.64,0,4.16,2.24,0,0.32,0.32,0.96,0.32,1.28,0.32,0.64,0.32,0,0.32,0.32,0.32,10.56,0,0,0.32,54.07,0.64
22Month,0,1.09,0.55,0,0.55,1.09,8.75,0,0,1.64,0,0,0.55,0.55,0,0,0,0,0,0,0,2.19,0,0,0,0,0
