stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,1.34,0,0,29.45,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,1.34
3Month,0.64,0.64,0.64,8,0,0.32,1.6,0.32,154.86,1.6,3.2,0.64,1.92,0.32,8,0,0.32,0.64,2.24,0.32,0.96,0.32
22Month,1.09,0.55,0,6.56,0.55,0.55,2.73,0,156.89,0,0.55,0,2.19,1.64,4.92,2.19,0,0,0.55,0.55,0,1.64
