stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,1.34,0,0,1.34,0,1.34,2.68,0,0,0,0,0,0
3Month,0,0,0,1.28,0,0.64,0,0.64,0.32,0,0.32,0.32,0.32,0.32
22Month,0.55,0,0.55,3.28,0,0,1.09,0,0,0.55,0,0,0,0
