stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,1.07,0,0,0,2.14,0,0,0,0,0
21Day,5.35,0,0,8.03,0,0,0,0,0,0,18.74,1.34,0,5.35,2.68,2.68,0,0,1.34,0,5.35,2.68,0,0,0,4.02,2.68,0,0,0,8.03
3Month,0,1.28,1.6,14.4,0.64,2.24,6.08,0,10.24,4.48,24.64,4.48,0.32,5.76,13.12,6.72,1.6,0,0.96,0.64,0,0.64,0.64,2.24,0,0,1.92,5.44,1.6,2.56,180.13
22Month,0.55,4.92,0,8.2,1.64,0,13.67,1.09,39.36,1.64,5.47,4.92,0.55,0.55,5.47,9.84,0,1.64,0,0,0,0,0,0,0.55,0.55,1.64,0,0,0,129.01
