stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,1.07,0,1.07,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,60.23,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0.32,0,3.52,0.32,0.96,2.88,0,16.96,88.63,0.64,6.08,0.96,2.88,1.6,3.84,0.32,0,0.32,0.64,0.32,0.32,0,0.64,0.32,1.92,0,1.92,0.96,4.16
22Month,0.55,3.28,1.09,2.73,0,0,5.47,4.37,45.92,62.32,1.09,6.01,0,0,4.37,8.75,0.55,2.19,0,0,0.55,0.55,1.09,0,0,0,1.09,0.55,0,1.64
