stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,44.95,0,0,0,0,0,0,0,0,0,4.09,0,24.52,0,0,0,0,0,0,0,0,0
72hpf,0,5.35,0,0,0,0,0,0,0,1.07,0,1.07,10.7,1.07,0,1.07,1.07,0,0,0,0,0,0
21Day,1.34,9.37,1.34,0,0,0,0,0,0,6.69,0,2.68,5.35,2.68,1.34,2.68,0,1.34,2.68,0,0,0,2.68
3Month,0.32,14.72,0,0.32,0.32,2.88,0,2.56,4.8,0,1.6,2.24,5.12,3.2,0.32,0.32,0.32,0.96,0.64,0,0.32,0.32,8.96
22Month,0,8.2,0,0,0.55,3.28,0.55,5.47,0,0.55,1.09,0.55,1.09,1.09,0,0,0,0.55,0,0.55,0,0,0.55
