stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Primordial_germ_cell
3Month,0.96,0,0,0.32,0,0.32,8.64,0
22Month,0.55,3.28,0.55,0.55,0.55,0,11.48,0.55
