stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,8.03,45.51,16.06,0,1.34,0,0,0,12.05,1.34,4.02,120.47,1.34,8.03,18.74,18.74,2.68,0,0,0,8.03,5.35,0,0,0,4.02,9.37,0,0,1.34,0,0,0
3Month,1.6,9.6,47.35,0,1.28,0.96,15.68,8.64,0.32,104.62,8,0,741,4.8,6.72,34.87,3.84,0.32,0,0.96,3.84,0,0,5.76,0,0,0.32,1.28,2.56,0,0,2.24,2.88,6.08
22Month,3.28,92.93,165.64,0,33.35,1.09,43.73,27.88,3.28,2524.45,14.21,1.09,750.01,1.09,9.84,61.77,30.61,0.55,135.57,9.29,3.28,4.92,0,5.47,3.83,2.73,0,0.55,2.73,1.09,0,1.64,0,7.11
