stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Ionocyte,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Smooth_muscle_cell
24hpf,0,0,4.09,0,0,0,0,0,32.69,0,0,0
72hpf,1.07,3.21,0,2.14,0,1.07,0,1.07,6.42,1.07,2.14,0
21Day,0,1.34,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0,0.96,0,0.96,0,0.32,0,0,0,0,0.32
22Month,0,0,0,0,1.09,0,0,0,0,0,0,0
