stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,8.17,0,4.09,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0
72hpf,5.35,0,0,0,0,0,0,0,0,2.14,0,0,1.07,1.07,0,0,0,0
21Day,2.68,0,1.34,1.34,0,2.68,0,0,0,4.02,0,0,1.34,2.68,0,1.34,1.34,0
3Month,0,0,0.96,0,0.32,2.88,0.96,0.32,0,0,0.32,0.32,0,0,0,0,0.32,0
22Month,0,0.55,0.55,0,0,10.93,12.03,0,2.73,2.73,0,0.55,0,0,0.55,0,0,1.64
