stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,57.21,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,1.07,0,0,0,0,0,0,0,1.07,1.07,1.07,2.14,0,0,1.07,38.51,25.67,0,0,2.14,1.07,0,1.07,2.14,1.07,3.21,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,1.34,0,1.34,1.34,2.68,1.34,0,1.34,0,12.05,8.03,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0,0,3.84,0,2.24,2.24,0,9.6,0.64,0.32,1.6,0.96,0.64,0,0.64,0.32,1.28,0.64,0.32,0,0,0.64,0,0.64,1.6,0,0,0,0,0.64,0.96,1.92
22Month,0,0.55,1.09,0,1.09,2.73,0.55,14.21,0,0,3.83,0,0,1.09,1.64,0,0,0,0,0.55,0.55,0.55,0,0,0,0,1.64,0,0,0,0,1.64
