stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0
21Day,0,0,0,22.76,0,0,0,0,0,0,0,0,0,5.35,0,4.02,0,0,1.34,0,0,1.34,0,0,2.68,0,0,0,0,0
3Month,0,0.32,1.92,25.6,0.32,5.44,0.32,0,5.44,0.64,0,25.28,2.24,2.24,1.6,0.32,1.6,0,2.88,1.6,0,0,0.96,0.32,0,0.64,0.96,0.96,1.92,1.92
22Month,0.55,1.09,2.19,13.67,1.09,0.55,2.19,1.09,17.49,0,1.09,10.93,0,1.09,2.19,0.55,0,1.09,0.55,0,0,0,0,0,0,0,0,0.55,0,1.64
