stage,Endothelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,0,0,0,0,12.26,8.17,8.17,0,0,0,0,0
72hpf,0,1.07,0,0,0,4.28,12.84,0,2.14,0,0,1.07,0
21Day,0,0,0,0,0,2.68,16.06,1.34,4.02,2.68,0,0,0
3Month,0,0,0.64,0.64,0.32,0.64,0.64,0,0,0,0.32,0,0
22Month,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09
