stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,4.09,0,0,0
72hpf,4.28,2.14,4.28,0,0,0,0,0,0,0,3.21,5.35,0,0,4.28,1.07,9.63,0,0,1.07,0,0,0
21Day,1.34,2.68,8.03,0,1.34,0,0,0,0,0,1.34,2.68,0,0,0,4.02,6.69,1.34,0,0,0,0,0
3Month,0,0.64,1.92,0,0,0.32,0.96,15.36,0.96,0.32,2.56,3.84,1.6,0.64,0.32,0,0,0,5.76,0.32,0.64,11.2,0.96
22Month,0,0,1.09,0.55,0,0,0,10.93,0,0,0,1.09,0,0,0,0,0,0,13.67,0,0,0,0
