stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,21.42,1.34,0,0,0,0,0,0,0,1.34,28.11,10.71,2.68,0,1.34,1.34,1.34,0,0,0,0
3Month,28.8,0,0.64,0,0.64,0,1.92,0,0.32,1.6,1.28,7.68,0,1.6,0.96,0,0.32,0.96,0.32,0.64,0.64
22Month,27.33,0,0,0.55,0,0.55,5.47,1.09,0,1.64,0.55,4.92,0.55,0,0.55,0,0,0,0,0,0.55
