stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,12.26,0,0,0,32.69,0,0,0,0,0
72hpf,1.07,1.07,2.14,2.14,0,0,0,0,1.07,0,0,4.28,0,0,3.21,3.21,3.21,0,5.35,0,0
21Day,1.34,0,1.34,1.34,0,0,0,0,0,0,0,16.06,0,1.34,2.68,1.34,8.03,0,1.34,0,0
3Month,0.32,2.56,1.28,0,0.64,0.96,0.64,1.6,0,0.64,1.28,21.44,5.12,0.96,0.32,0.32,1.28,7.04,0.32,5.44,3.2
22Month,0,0.55,0,0,0.55,0,1.09,0,0,0.55,0,12.57,1.09,0.55,0,0,0,4.37,1.09,0,0
