stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2701.11,4.09,0,24.52,0,0,0,0,0,4.09,0,0,0,4.09,8.17,4.09,12.26,57.21,0,0,0,0,0,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,10489.3,18.19,0,46,9.63,78.09,3.21,3.21,0,0,0,0,6.42,0,24.61,144.42,10.7,131.58,0,4.28,4.28,3.21,636.53,310.24,2.14,7.49,0,165.82,1.07,2.14,49.21,2.14,3.21,7.49,0,0,0
21Day,3310.19,5.35,8.03,104.41,2.68,66.93,13.39,1.34,0,0,18.74,2.68,24.09,17.4,5.35,52.2,22.76,124.48,0,0,10.71,0,125.82,61.57,1.34,2.68,0,37.48,44.17,4.02,18.74,9.37,16.06,1.34,0,0,8.03
3Month,41.91,0.96,0.32,5.44,0.32,0,0,1.6,0,0,8,1.6,0.32,2.24,5.12,0.32,0.96,5.76,0.96,0,2.24,0.32,0,0,0,0,0,0.32,0.32,58.55,0.64,0,0,0.64,0.32,2.24,0.32
22Month,13.67,0,0,6.56,0,0,0,1.64,0.55,0,48.11,0.55,1.09,1.64,1.64,1.64,1.09,2.73,0,1.64,1.64,0,0,0.55,0,0.55,0.55,0,0,55.76,0,0,0,0,0,0,0.55
