stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,1.07,1.07,0,0,0,3.21,0,0,17.12,0,0,0,0,0,0,0
21Day,0,0,1.34,1.34,1.34,0,0,0,0,2.68,20.08,0,1.34,0,2.68,0,0,0
3Month,0,0.32,0.32,0,0,1.6,0.64,0.32,0,0.64,0,0,0,0,0,0.32,0.32,0.32
22Month,1.09,0,0.55,0,0.55,7.11,0,0,0.55,1.09,0,0,0,0.55,0,0,0.55,0
