stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,77.64,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,3.21,3.21,1.07,2.14,0,0,0,0,0,0,0,2.14,3.21,0,4.28,0,0,0,0,206.47,33.16,2.14,1.07,3.21,0,0,2.14,2.14,0,1.07,0,0
21Day,9.37,0,4.02,0,13.39,1.34,0,0,1.34,0,0,0,1.34,4.02,2.68,8.03,0,0,1.34,0,219.52,13.39,0,8.03,5.35,8.03,0,10.71,12.05,45.51,5.35,0,1.34
3Month,0,0.32,1.92,0,0,0,0.64,0.64,1.92,0.96,0.64,2.56,0.64,2.88,0.96,1.92,0.32,0,0,0.64,2.24,0,0.32,0.96,0,0.32,3.52,0.32,0,0,0.32,8,0.32
22Month,0,0.55,0,0,0,0,0,2.19,8.2,0.55,0,1.09,0,0,1.64,0.55,0,0.55,0,0,1.09,0,0.55,4.92,0,0,1.09,0.55,0,0,0,0,0
