stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,53.12,0,0,8.17,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,1.07,1.07,0,0,0,1.07,0,0,0,0,3.21,0,0,2.14,2.14,1.07,0,0,0,0,0
21Day,0,4.02,0,1.34,0,0,8.03,0,2.68,4.02,0,2.68,0,0,0,2.68,0,0,1.34,0,0,0,1.34,2.68,0,0,0,0,1.34
3Month,0.32,13.76,0.32,11.52,0,0.32,2.56,2.56,1.28,61.11,3.84,2.88,1.92,0.32,0.64,4.8,0.96,0.64,0.32,0,0.32,0,0,2.56,2.56,1.92,0.32,1.6,1.92
22Month,0,12.03,0.55,6.56,0,0,2.19,2.19,2.73,59.59,0.55,5.47,0.55,0,0,5.47,1.09,0,1.64,0.55,0,0,0,1.64,0,0.55,0,0,0.55
