stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,36.78,4.09,0,0,0,0,0,12.26,0,0,0,0,4.09,4.09,4.09,163.46,0,0,0,16.35,339.17,0,36.78,0,0,0,4.09,0,0,0
72hpf,5.35,3.21,0,31.02,7.49,5.35,0,0,0,0,0,0,0,10.7,0,1.07,17.12,1.07,246.05,0,0,18.19,71.68,50.28,0,232.14,0,0,6.42,4.28,0,0,0
21Day,1.34,0,1.34,30.79,0,5.35,1.34,0,0,0,0,0,1.34,33.46,1.34,1.34,4.02,1.34,208.81,0,0,24.09,1.34,12.05,1.34,56.22,0,0,4.02,2.68,1.34,0,6.69
3Month,0,1.28,0.32,8.32,0,0,0,0.64,0.64,0.32,0,1.28,0.64,0.96,0.96,0.96,7.04,0.96,46.39,4.48,0,3.84,0.32,0,0.64,0.64,1.92,30.4,0,0.32,25.28,2.88,0.64
22Month,0.55,0,0,4.37,0,0,0,0,0.55,0,0,3.28,0.55,1.64,0,0,1.64,1.09,48.65,1.09,0.55,3.83,0.55,0,0,0,0,20.23,0.55,0,1.09,0,0
