stage,Epithelial_cell,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,0,4.09,0,4.09,0,0
21Day,1.34,1.34,2.68,2.68,0,1.34,1.34
