stage,Epithelial_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,T_cell
72hpf,0,0,0,0,0,1.07,0
21Day,0,0,0,1.34,0,0,0
3Month,0.32,1.28,0.32,2.24,0.32,0,3.2
