stage,Epithelial_cell,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,1.07,1.07,0,0
21Day,1.34,0,0,0,0,0,0,0,0
3Month,0,0.96,0.32,0.32,0.32,0,0,10.24,0.32
