stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,33.46,0,0,0,1.34,0,0,0,0,0,0,6.69,5.35,0,0,0,28.11,0,6.69,1.34,0,0,0,0,0,0,2.68,0,0,0
3Month,0,1.6,0.32,126.7,0,0.32,0,1.92,0,13.12,5.44,0,4.16,1.6,3.84,4.16,3.52,0.96,0,896.82,0.64,0.64,0,0.64,0.64,0.32,3.2,4.16,0.96,0,0.32,0.96,0.64
22Month,0,2.73,2.73,118.08,0.55,0,1.09,3.28,0.55,37.72,3.28,0.55,8.2,1.09,1.09,6.56,1.64,0,1.09,885.03,0,0,0,1.09,0,0,0.55,21.87,0,0,0,0,0.55
