stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.76,8.17,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,2.14,0,6.42,0,4.28,0,0,0,29.95,0,0,0,72.75,1.07,0,1.07,0,0,2.14,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,1.34,0,2.68,4.02,28.11,0,30.79,0,8.03,0,2.68,17.4,199.44,1.34,2.68,1.34,147.24,5.35,0,0,8.03,0,9.37,8.03,1.34,2.68,0,10.71,8.03,0,0,1.34,4.02,2.68,0,0,188.73
3Month,0,1.28,0,11.52,0,1.92,4.48,1.6,115.18,0,35.19,329.23,32.31,7.68,1.92,1.92,222.36,6.4,1.92,0,2.56,1.6,1.6,0,0.64,0.32,0,0.96,3.84,1.28,5.44,0,0,0,1.6,8.32,234.2
22Month,2.19,2.73,0,4.37,0,3.28,5.47,0,438.96,0.55,50.29,171.1,50.84,1.64,0,0.55,368.99,4.37,0,2.19,1.64,0,1.09,0.55,0,0.55,1.09,0,0.55,0,0.55,1.09,0.55,0,0,0,68.88
