stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,8.17,8.17,0,12.26,0,0,0,0,8.17,0,0,0,0,8.17,0,32.69,0,0,0,0,12.26,228.84,0,4.09,0,0,0,0,4.09,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,1.07,0,0,3.21,1.07,0,7.49,0,0,0,0,33.16,25.67,0,5.35,0,0,2.14,1.07,0,0
21Day,12.05,0,0,2.68,0,5.35,0,0,0,6.69,0,0,0,0,2.68,9.37,0,0,2.68,0,6.69,25.43,0,2.68,2.68,1.34,0,1.34,0,1.34
3Month,0.32,0,0.32,19.84,0.32,0,0.96,0.64,0,15.04,0.64,4.48,1.28,10.56,0.96,1.28,0.32,0.32,0.64,1.6,0.32,0,0.32,0,0,38.07,0,0,0,0.64
22Month,0,0,0,2.73,0,0,0.55,0,0,19.68,0,1.09,0,0.55,0.55,1.09,0.55,1.09,0.55,0,0,0,0,0,0,13.12,0,0,0,0
