stage,Epithelial_cell,Erythrocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell
24hpf,4.09,0,0,0,0,4.09,24.52
72hpf,0,1.07,0,0,0,1.07,0
21Day,0,0,1.34,1.34,1.34,0,0
