stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,106.25,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,89.9,0,0,0,16.35,77.64,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,51.35,32.09,0,0,0,0,0,0,0,0,0,0,0,0,27.81,0,46,0,2.14,0,33.16,9.63,0,1.07,0,20.33,0,0,1.07,0,3.21,0,0,0
21Day,4.02,0,2.68,171.33,4.02,5.35,0,0,0,0,1.34,1.34,0,0,6.69,0,9.37,60.23,6.69,53.54,0,4.02,0,30.79,9.37,0,18.74,0,21.42,10.71,0,2.68,4.02,1.34,0,0,5.35
3Month,0,0.96,2.24,55.67,2.24,0,0.32,0,0.32,4.48,3.84,0.32,17.6,3.2,0.64,6.08,2.56,22.08,5.44,15.04,0,0.64,0.32,0.96,0,1.28,4.8,0,0.32,0.64,5.44,0,0.96,1.28,3.52,3.52,7.04
22Month,0,2.19,0.55,40.45,1.09,0,0.55,0.55,0,2.19,8.75,1.09,79.81,1.09,0,8.2,0,4.37,3.28,4.92,2.19,0,0.55,1.09,0,1.09,1.09,0.55,0,0.55,7.11,1.09,0,0,0,0,2.19
