stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oocyte,Pancreatic_cell,T_cell
24hpf,0,0,0,0,0,0,0,12.26,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,5.35,0,0,0,0,0,0,0,2.68
3Month,0.64,6.72,1.6,2.56,0.96,0.32,0.32,4.48,0,0.32,0,0.64,4.48
22Month,0,1.09,4.92,0,0.55,0.55,0,0.55,0.55,0,0.55,0,1.64
