stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,1.34,0
3Month,0,0,0.32,0.96,0.32,0,0.32,0,0.32,0,0.32,0.32,0.32,0,0,0.32,2.24,0
22Month,0,0.55,0,0,0,0.55,0,4.37,0,0.55,1.09,8.75,0,0.55,0.55,0,20.77,1.64
