stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,4.09,81.73,8.17,0,0,0,0
72hpf,3.21,0,1.07,0,0,0,0,0,0,2.14,0,9.63,0,0,0,0,1.07,9.63,1.07,0,0,0
21Day,1.34,0,4.02,0,0,0,0,0,0,0,1.34,17.4,0,0,0,2.68,0,6.69,0,1.34,0,0
3Month,0,0.32,0.64,0.32,0.32,2.24,0.32,0,0.32,0.32,0.32,0.32,0.32,0,0.32,0,0,0,0,0.32,0.32,0.32
22Month,0,0,0.55,0,0.55,9.29,0.55,0.55,0.55,0,0,0.55,0.55,0.55,0.55,0,0,0,0,0,0,0
