stage,Epithelial_cell,Erythrocyte,Mt_rich_cell,Neural_cell,Osteoblast
24hpf,0,0,0,40.86,0
72hpf,0,0,0,6.42,1.07
21Day,1.34,1.34,0,4.02,0
22Month,0,0,0.55,3.83,0
