stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,3.21,0,0,0,0,0,0,0,0,1.07,0,2.14,7.49,0,5.35,0,0,1.07,3.21,1.07,4.28,0,0,0,7.49,0,0,0,2.14,0,0,0
21Day,0,1.34,0,17.4,2.68,0,0,0,1.34,0,0,1.34,0,0,0,0,10.71,1.34,5.35,0,0,0,1.34,2.68,0,1.34,0,0,2.68,2.68,0,0,2.68,0,0,0
3Month,0,1.92,1.28,20.8,0,0.64,0.32,2.56,4.16,0,0,40.31,1.6,0,6.08,5.44,8,5.76,6.72,1.92,0.32,1.92,7.36,0.32,0,0.32,0.64,0,0,0.96,4.48,0,0,1.6,47.67,2.56
22Month,0.55,2.73,0.55,6.01,0,0,0,2.19,8.2,4.37,0,91.29,1.09,0,6.01,0.55,3.28,6.56,5.47,0.55,1.09,0.55,2.19,0,0,0,0,1.09,0.55,0,1.09,2.19,0.55,0.55,0,1.09
