stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,16.35,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,13.91,25.67,2.14,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,17.4,1.34,0,0,1.34,0,0,0,0
3Month,0,0.32,2.24,0,0.32,0,0.64,0.64,0,0,0,0.32,0,0,0.32,0.64,0.32,0.64
22Month,0,0,0,0,0,1.09,3.28,0.55,0,0,0,0,0,0,0,0,0,0
