stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,69.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,97.35,1.07,0,0,0,0,70.61,0,9.63,0,0,9.63,2.14,0,4.28,0,1.07,0,0,0,0
21Day,28.11,4.02,1.34,0,1.34,0,36.14,1.34,81.65,0,1.34,1.34,4.02,0,46.85,2.68,0,1.34,1.34,0,0
3Month,0.32,0,0,0.32,0.32,0.32,9.28,0,16,2.56,0.32,0,0,0.32,0,0,0,0,0,0.32,0.64
22Month,0,0,0.55,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0
