stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,32.69,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,16.05,0,0,1.07,0,0,0,0,0,0,0,5.35,0,0,0,0,0,4.28,6.42,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,97.71,1.34,0,6.69,0,0,4.02,0,0,0,0,5.35,0,1.34,0,0,0,4.02,1.34,0,0,0,1.34,0,0,1.34,0,0,0
3Month,0.32,1.92,2.24,123.18,0,1.28,366.98,0.96,0,33.27,4.16,0.64,10.88,4.48,3.2,2.56,3.84,0.96,2.24,0.64,0.32,0.32,1.28,0.32,0.32,1.28,2.56,0.32,0,0.96,3.2,2.24
22Month,0,0,1.09,17.49,0,0,116.98,1.64,0,11.48,0,0,6.01,1.09,0.55,2.19,0.55,0,0,0,0,0,1.09,1.09,0,0.55,1.09,0,0,0.55,0,0
