stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,49.04,24.52,0,89.9,16.35,0,0,8.17,0,0,0,16.35,12.26,16.35,290.13,0,106.25,7155.29,28.6,61.3,0,0,0,0,0,0
72hpf,17.12,7.49,0,13.91,4.28,16.05,0,0,0,0,0,1.07,19.26,1.07,34.23,0,1367.19,687.88,0,31.02,0,0,218.24,0,2.14,0
21Day,1.34,1.34,1.34,4.02,0,6.69,1.34,0,0,4.02,5.35,2.68,4.02,0,6.69,2.68,147.24,101.73,0,25.43,5.35,1.34,58.9,1.34,1.34,0
3Month,0,0.32,0.32,0.32,0.32,0,0,0,0.32,0,0.32,0,0.32,0.64,0.32,0.64,0,0.32,0,0.32,0.32,2.56,0.64,0,0,5.44
22Month,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0.55,0,0,0,0,0,0,23.51,0,0,0,0
