stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,3.21,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,1.07,0,0,1.07,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,2.68,0,1.34,0,0,0,2.68,0,0,1.34
3Month,0,0.32,0.32,0.64,0.32,0.64,0,3.2,0.32,1.6,0.96,0.96,0.96,0.32,0,0,0,0.64,42.87,0.32,22.08,0.32
22Month,0,0,0,0,0,0,1.09,3.28,0.55,1.09,0,1.09,0.55,0,0,4.37,0,0,24.6,0,0,0
