stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,24.52,0,0,0,0,0,0,0,4.09,0,0,0,4.09,65.38,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,4.28,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,3.21,7.49,0,0,0,0,0,3.21,0,0,0
21Day,8.03,0,18.74,13.39,0,0,0,0,2.68,0,1.34,5.35,0,2.68,0,0,0,1.34,4.02,0,1.34,1.34,0,0,0,1.34,0,1.34
3Month,0.32,0,15.36,63.03,0.32,0,3.52,1.6,0,1.92,0.32,0.32,0,0.64,0.32,0,0.32,0.32,0,0.32,0.32,0,0.32,5.76,0.32,0,2.56,0.96
22Month,0,0.55,3.83,26.24,1.09,0,16.4,0,1.09,2.19,0,0,1.09,2.19,0,0,0.55,0,0,1.09,0.55,0,0,2.19,0,0,0,0
