stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,77.64,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,12.84,1.07,0,0,0,0,0,0,0,0,3.21,31.02,0,13.91,0,0,0,3.21,12.84,3.21,0,0,7.49,0,0,3.21,3.21,0,0,0
21Day,1.34,2.68,1.34,95.04,2.68,0,4.02,0,0,0,0,5.35,8.03,4.02,42.83,9.37,24.09,0,0,8.03,0,4.02,5.35,4.02,0,5.35,0,0,1.34,2.68,0,0,0
3Month,0,12.16,0,17.28,0,0.32,9.28,1.6,0,2.56,2.24,0,16.32,6.4,1.92,3.84,11.2,1.92,0,3.84,8.96,0,0.32,0.96,0,0,0.64,0.64,1.28,0.64,1.28,4.16,0.64
22Month,0,45.92,3.28,28.43,0.55,0,15.85,2.73,184.22,19.13,0.55,1.09,27.88,3.28,12.03,4.37,19.13,0,1.09,1.09,0.55,0.55,0,1.64,0.55,0,0,0,4.37,0,0,0,0
