stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,20.43,0,0,0,0,4.09,0,0,0,0,24.52,4.09,4.09,0,0,0,0,0,138.94,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,1.07,0,0,0,0,0,0,1.07,0,7.49,0,4.28,0,0,0,0,46,28.88,0,0,6.42,0,0,2.14,2.14,0,0,0,0
21Day,0,1.34,5.35,0,0,0,0,0,0,0,1.34,0,2.68,1.34,6.69,0,0,0,0,33.46,10.71,0,1.34,1.34,4.02,0,1.34,0,1.34,0,0,0
3Month,0,0.96,3.52,0,0,0.64,0.64,0,1.6,0.96,0,1.28,0.96,1.28,0.96,0.64,0,0.32,0.32,0.64,0,1.28,0,0,0.32,25.6,0,0,0,0.32,6.4,0.96
22Month,0,0,1.64,0,0.55,0.55,2.73,0,4.37,0.55,0.55,1.64,0.55,0.55,0.55,0,0.55,0.55,0,0,0,0,0,0,0,1.09,0,0,0,0,0.55,0.55
