stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,16.35,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,2.14,0,1.07,0,41.72,4.28,2.14,0,0,1.07,1.07,0,1.07
21Day,1.34,0,0,0,0,0,2.68,0,1.34,6.69,0,0,1.34,2.68,0,0,0,2.68
3Month,0.64,0,0.32,0,0.32,0,0,0,0.32,0,0,0,0,2.88,0,0,1.6,0.32
22Month,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
