stage,Cardiomyocyte,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,4.09,4.09,0,0,0,0,16.35,0,0,0,0
72hpf,0,0,0,3.21,0,0,2.14,0,0,0,0
21Day,0,6.69,0,4.02,0,2.68,0,0,1.34,0,0
3Month,0,0.32,0.32,0.64,0.32,0,0,0.32,0,0.32,0.64
